Date;PLAISANCE DU TOUCH;GRENADE
08/07/2019;672;0
10/07/2019;656;0
11/07/2019;621;0
12/07/2019;524;0
13/07/2019;930;0
15/07/2019;219;0
17/07/2019;319;0
18/07/2019;748;0
19/07/2019;615;0
20/07/2019;867;0
21/07/2019;839;0
22/07/2019;560;0
24/07/2019;579;0
25/07/2019;461;0
26/07/2019;617;0
27/07/2019;635;0
28/07/2019;898;0
29/07/2019;764;0
31/07/2019;954;0
01/08/2019;753;165
02/08/2019;681;91
03/08/2019;772;112
04/08/2019;637;107
05/08/2019;811;134
07/08/2019;871;139
08/08/2019;633;80
09/08/2019;643;107
10/08/2019;789;137
11/08/2019;765;182
12/08/2019;877;201
14/08/2019;1072;184
16/08/2019;1208;218
17/08/2019;818;75
18/08/2019;834;127
19/08/2019;792;191
21/08/2019;823;121
22/08/2019;761;68
23/08/2019;749;57
24/08/2019;832;72
25/08/2019;832;91
26/08/2019;711;139
28/08/2019;780;121
29/08/2019;648;62
30/08/2019;591;79
31/08/2019;887;81
01/09/2019;1096;324
02/09/2019;643;85
04/09/2019;822;119
05/09/2019;574;133
06/09/2019;533;63
07/09/2019;880;160
08/09/2019;983;203
09/09/2019;700;111
11/09/2019;591;96
12/09/2019;569;71
13/09/2019;585;126
14/09/2019;832;227
15/09/2019;838;229
16/09/2019;596;103
18/09/2019;722;108
19/09/2019;552;75
20/09/2019;533;91
21/09/2019;870;150
22/09/2019;803;214
23/09/2019;577;116
25/09/2019;691;102
26/09/2019;524;112
27/09/2019;546;154
28/09/2019;866;186
29/09/2019;869;223
30/09/2019;667;141
02/10/2019;581;217
03/10/2019;568;150
04/10/2019;521;104
05/10/2019;951;246
06/10/2019;942;319
07/10/2019;664;144
09/10/2019;680;193
10/10/2019;559;129
11/10/2019;591;126
12/10/2019;880;206
13/10/2019;1004;172
14/10/2019;657;163
16/10/2019;726;129
17/10/2019;585;102
18/10/2019;564;131
19/10/2019;954;187
20/10/2019;782;153
21/10/2019;684;114
23/10/2019;517;179
24/10/2019;513;151
25/10/2019;613;70
26/10/2019;906;145
27/10/2019;1018;271
28/10/2019;795;242
30/10/2019;1017;348
31/10/2019;759;140
01/11/2019;0;0
02/11/2019;776;105
03/11/2019;629;150
04/11/2019;469;103
06/11/2019;487;140
07/11/2019;332;15
08/11/2019;315;0
09/11/2019;798;0
10/11/2019;873;0
13/11/2019;683;0
14/11/2019;396;0
15/11/2019;388;0
16/11/2019;793;0
17/11/2019;835;0
18/11/2019;591;0
20/11/2019;602;0
21/11/2019;528;0
22/11/2019;551;0
23/11/2019;585;0
24/11/2019;785;0
25/11/2019;539;0
27/11/2019;659;0
28/11/2019;510;0
29/11/2019;445;0
30/11/2019;714;0
01/12/2019;657;0
02/12/2019;551;0
04/12/2019;545;0
05/12/2019;401;0
06/12/2019;462;0
07/12/2019;743;0
08/12/2019;692;0
09/12/2019;389;0
11/12/2019;413;0
12/12/2019;345;0
13/12/2019;239;0
14/12/2019;693;0
15/12/2019;752;0
16/12/2019;583;0
18/12/2019;601;0
19/12/2019;510;0
20/12/2019;463;0
21/12/2019;703;0
22/12/2019;489;0
23/12/2019;575;0
26/12/2019;903;0
27/12/2019;739;0
28/12/2019;739;0
29/12/2019;677;0
30/12/2019;841;0
02/01/2020;960;0
03/01/2020;877;0
04/01/2020;1022;0
05/01/2020;963;0
06/01/2020;546;0
08/01/2020;581;0
09/01/2020;483;0
10/01/2020;438;0
11/01/2020;821;0
12/01/2020;742;0
13/01/2020;486;0
15/01/2020;594;0
16/01/2020;475;0
17/01/2020;368;0
18/01/2020;812;0
19/01/2020;824;0
20/01/2020;498;0
22/01/2020;269;0
23/01/2020;289;0
24/01/2020;452;0
